stamp_id,photo_path_type,photo_path_type,description,type_name,color,paper,perforation,plate_flaw,catalog_price_superb **,catalog_price_extra_fine,catalog_price_very_fine *,catalog_price_fine,catalog_price_avg (*),catalog_price_poor,catalog_price_post_cover,,,,,
4,path_type1,,tmavě hnědá,I,dark brown,handmade paper,hand-cut,-,,,,,,,,,,,,
4,path_type1,,tmavě hnědá,III,dark brown,handmade paper,hand-cut,-,,,,,,,,,,,,
4,path_type1,,rezavě hnědá,Ib,rusty brown,handmade paper,hand-cut,-,,,,,,,,,,,,
4,path_type1,,rezavě hnědá,Ic,rusty brown,handmade paper,hand-cut,-,,,,,,,,,,,,
4,path_type1,,světle šedo hnědá,Ia,light grey brown,handmade paper,hand-cut,-,,,,,,,,,,,,
4,path_type1,,světle šedo hnědá,III,light grey brown,handmade paper,hand-cut,-,,,,,,,,,,,,
4,path_type1,,fialovo hněda,Ib,purple brown,handmade paper,hand-cut,-,,,,,,,,,,,,
4,path_type1,,fialovo hněda,III,purple brown,handmade paper,hand-cut,-,,,,,,,,,,,,
4,path_type1,,sytě fialově hněda,Ib,deep purple brown,handmade paper,hand-cut,-,,,,,,,,,,,,
4,path_type1,,černohněda,Ib,black brown,handmade paper,hand-cut,-,,,,,,,,,,,,
5,path_type1,,modra,IIIb,blue,machine paper,hand-cut,-,,,,,,,,,,,,
5,path_type1,,modra,II,blue,handmade paper,hand-cut,-,,,,,,,,,,,,
5,path_type1,,šedomodrá,II,grey-blue,handmade paper,hand-cut,-,,,,,,,,,,,,
5,path_type1,,tmavě modrá,IIIb,dark-blue,machine paper,hand-cut,-,,,,,,,,,,,,
5,path_type1,,tmavě modrá,I,dark-blue,handmade paper,hand-cut,-,,,,,,,,,,,,
5,path_type1,,tmavě modrá,II,dark-blue,handmade paper,hand-cut,-,,,,,,,,,,,,
5,path_type1,,světle modrá,IIIb,light blue,machine paper,hand-cut,-,,,,,,,,,,,,
5,path_type1,,světle modrá,IIIa,light blue,handmade paper,hand-cut,-,,,,,,,,,,,,
5,path_type1,,světle modrá,IIIb,light blue,handmade paper,hand-cut,-,,,,,,,,,,,,
